Epoch	ValidLoss	ValidPPL
1	5.73	308.44
2	5.29	198.67
3	5.05	156.57
4	4.94	139.10
5	4.85	127.90
6	4.80	121.54
7	4.78	119.04
8	4.76	116.72
9	4.74	114.14
10	4.74	114.16
11	4.68	108.05
12	4.68	108.01
13	4.69	108.77
14	4.68	107.29
15	4.68	107.78
16	4.68	107.70
17	4.68	107.70
18	4.68	107.69
19	4.68	107.69
20	4.68	107.69
21	4.68	107.69
22	4.68	107.69
23	4.68	107.69
24	4.68	107.69
25	4.68	107.69
26	4.68	107.69
27	4.68	107.69
28	4.68	107.69
29	4.68	107.69
30	4.68	107.69
31	4.68	107.69
32	4.68	107.69
33	4.68	107.69
34	4.68	107.69
35	4.68	107.69
36	4.68	107.69
37	4.68	107.69
38	4.68	107.69
39	4.68	107.69
40	4.68	107.69
40	4.18	65.37
